CUSTID,SDATE,PRODUCTID,L_CLASS,M_CLASS,SUBTOTAL
100021,2019-06-03,9900508,"BAG","BAG02",1370
100021,2019-06-03,9900503,"BAG","BAG02",1650
100021,2019-07-31,9904893,"SHOES","SHOES02",1107
100022,2019-01-04,9914641,"COSMETICS","COSMETICS03",54180
100022,2019-01-18,9914641,"COSMETICS","COSMETICS03",54180
100022,2019-02-01,9914641,"COSMETICS","COSMETICS03",54180
100022,2019-03-15,9903982,"COSMETICS","COSMETICS01",1197
100022,2019-03-15,9902308,"COSMETICS","COSMETICS03",7260
100022,2019-04-25,9903982,"COSMETICS","COSMETICS01",1197
100022,2019-10-21,9902308,"COSMETICS","COSMETICS03",13680
100022,2019-11-11,9900450,"SHOES","SHOES02",2820
100022,2019-11-24,9902308,"COSMETICS","COSMETICS03",13680
100023,2019-02-02,9902803,"SHOES","SHOES02",2754
100023,2019-02-12,9902803,"SHOES","SHOES02",6885
100023,2019-10-09,9901912,"BAG","BAG01",13600
100026,2019-01-13,9901072,"SHOES","SHOES03",3300
100026,2019-02-26,9900699,"SHOES","SHOES03",18810
100026,2019-03-05,9905889,"BAG","BAG02",2460
100026,2019-03-05,9904292,"BAG","BAG02",1660
100026,2019-03-24,9906397,"SHOES","SHOES03",1760
100026,2019-03-24,9900587,"SHOES","SHOES03",1800
100026,2019-05-03,9901756,"COSMETICS","COSMETICS03",6380
100026,2019-05-18,9904153,"SHOES","SHOES03",5382
100026,2019-05-18,9900236,"SHOES","SHOES03",1280
100026,2019-05-18,9905757,"SHOES","SHOES03",3375
100026,2019-07-08,9900699,"SHOES","SHOES03",3135
100026,2019-07-26,9900905,"SHOES","SHOES03",3600
100026,2019-07-26,9907801,"BAG","BAG03",1080
100026,2019-08-14,9900905,"SHOES","SHOES03",14400
100026,2019-09-27,9905705,"SHOES","SHOES03",4580
100026,2019-12-13,9911352,"SHOES","SHOES02",1740
100027,2019-01-20,9904988,"BAG","BAG01",2980
100027,2019-01-20,9900270,"COSMETICS","COSMETICS02",2380
100027,2019-03-13,9917421,"BAG","BAG03",2500
100027,2019-11-10,9900307,"BAG","BAG02",1440
100027,2019-11-10,9900013,"BAG","BAG02",2325
100027,2019-11-10,9905867,"COSMETICS","COSMETICS03",1140
100027,2019-11-10,9909221,"COSMETICS","COSMETICS03",3400
100028,2019-02-13,9900332,"SHOES","SHOES03",7980
100028,2019-06-13,9904731,"SHOES","SHOES02",1511
100029,2019-02-27,9900741,"BAG","BAG02",4980
100029,2019-06-01,9918958,"BAG","BAG01",4900
100029,2019-06-23,9901062,"SHOES","SHOES03",29000
100029,2019-06-23,9912033,"SHOES","SHOES02",1260
100029,2019-07-13,9900217,"COSMETICS","COSMETICS02",7820
100030,2019-02-16,9937868,"BAG","BAG02",2000
100030,2019-05-29,9903194,"SHOES","SHOES01",4980
100030,2019-06-05,9909288,"COSMETICS","COSMETICS02",4900
100030,2019-10-14,9900292,"SHOES","SHOES01",4400
100030,2019-10-14,9902157,"SHOES","SHOES02",1060
100030,2019-11-12,9900587,"SHOES","SHOES02",2000
100030,2019-12-01,9909359,"COSMETICS","COSMETICS03",3040
100030,2019-12-15,9903328,"SHOES","SHOES02",3320
100036,2019-01-14,9900583,"SHOES","SHOES02",3420
100036,2019-06-17,9900583,"SHOES","SHOES02",3420
100036,2019-10-21,9900583,"SHOES","SHOES02",3420
100036,2019-12-23,9900583,"SHOES","SHOES02",3420
100037,2019-03-17,9902317,"BAG","BAG01",3750
100037,2019-03-27,9900451,"SHOES","SHOES02",7900
100037,2019-03-27,9901315,"BAG","BAG01",1240
100037,2019-04-15,9900236,"SHOES","SHOES02",3450
100037,2019-04-15,9904893,"SHOES","SHOES02",2214
100037,2019-04-17,9904893,"SHOES","SHOES02",5535
100037,2019-04-22,9910347,"BAG","BAG01",1240
100037,2019-06-05,9904893,"SHOES","SHOES02",1230
100037,2019-06-05,9900227,"COSMETICS","COSMETICS02",1300
100037,2019-07-01,9901255,"COSMETICS","COSMETICS01",2076
100037,2019-08-09,9900227,"COSMETICS","COSMETICS02",1300
100037,2019-08-09,9904893,"SHOES","SHOES02",2214
100037,2019-08-18,9900236,"SHOES","SHOES02",3450
100037,2019-09-28,9904893,"SHOES","SHOES02",2460
100037,2019-10-25,9904893,"SHOES","SHOES02",3690
100037,2019-11-06,9904893,"SHOES","SHOES02",3690
100038,2019-02-05,9900227,"COSMETICS","COSMETICS02",3250
100038,2019-03-16,9904838,"SHOES","SHOES02",4550
100038,2019-05-01,9905921,"SHOES","SHOES01",4200
100038,2019-05-11,9937877,"BAG","BAG01",2459
100038,2019-05-27,9900217,"COSMETICS","COSMETICS02",13960
100038,2019-07-29,9900217,"COSMETICS","COSMETICS02",6980
100038,2019-08-07,9900227,"COSMETICS","COSMETICS02",3250
100038,2019-09-22,9900217,"COSMETICS","COSMETICS02",7820
100038,2019-10-28,9900217,"COSMETICS","COSMETICS02",13960
100038,2019-11-02,9904838,"SHOES","SHOES02",2730
100038,2019-11-02,9900013,"BAG","BAG02",3255
100038,2019-12-09,9900227,"COSMETICS","COSMETICS02",3250
100038,2019-12-30,9900217,"COSMETICS","COSMETICS02",13960
100039,2019-02-12,9901506,"SHOES","SHOES02",1800
100039,2019-06-30,9903332,"SHOES","SHOES02",4450
100040,2019-03-25,9900587,"SHOES","SHOES02",4500
100040,2019-03-25,9901363,"SHOES","SHOES02",1140
100040,2019-04-29,9901275,"SHOES","SHOES02",1197
100040,2019-05-04,9900227,"COSMETICS","COSMETICS02",1300
100040,2019-05-20,9900963,"SHOES","SHOES02",3800
100040,2019-05-27,9904893,"SHOES","SHOES02",2214
100040,2019-05-27,9901275,"SHOES","SHOES02",1197
100040,2019-06-03,9900277,"COSMETICS","COSMETICS01",1660
100040,2019-08-11,9900227,"COSMETICS","COSMETICS02",1300
100040,2019-09-14,9900236,"SHOES","SHOES02",3450
100042,2019-05-04,9900227,"COSMETICS","COSMETICS02",1950
100042,2019-06-20,9911899,"BAG","BAG03",4531
100042,2019-07-04,9937882,"COSMETICS","COSMETICS01",26220
100042,2019-07-12,9916952,"COSMETICS","COSMETICS03",3040
100042,2019-07-16,9904333,"COSMETICS","COSMETICS01",1440
100042,2019-07-16,9900286,"BAG","BAG03",1140
100042,2019-07-25,9906412,"COSMETICS","COSMETICS03",2090
100042,2019-09-13,9907564,"COSMETICS","COSMETICS03",2090
100042,2019-11-08,9900286,"BAG","BAG03",1083
100042,2019-12-08,9904224,"SHOES","SHOES02",2480
100043,2019-12-08,9900898,"COSMETICS","COSMETICS03",4400
100043,2019-12-08,9902487,"COSMETICS","COSMETICS03",2200
100043,2019-12-29,9937888,"SHOES","SHOES02",2537
100045,2019-01-05,9901658,"BAG","BAG03",2392
100045,2019-01-05,9903818,"COSMETICS","COSMETICS02",15000
100045,2019-02-25,9901224,"BAG","BAG03",14000
100045,2019-02-25,9906208,"SHOES","SHOES03",4520
100045,2019-03-09,9900582,"SHOES","SHOES03",3600
100045,2019-03-27,9903283,"SHOES","SHOES03",9100
100045,2019-03-27,9903325,"SHOES","SHOES03",1260
100045,2019-03-27,9900292,"SHOES","SHOES03",7920
100045,2019-03-27,9900087,"SHOES","SHOES03",1440
100045,2019-03-27,9905266,"SHOES","SHOES03",10000
100045,2019-04-20,9937172,"SHOES","SHOES03",15600
100045,2019-06-04,9904183,"COSMETICS","COSMETICS01",5300
100045,2019-06-08,9903334,"SHOES","SHOES03",5400
100045,2019-07-01,9901224,"BAG","BAG03",12600
100045,2019-09-14,9901224,"BAG","BAG03",14000
100045,2019-10-17,9921403,"COSMETICS","COSMETICS01",3860
100045,2019-10-17,9900494,"SHOES","SHOES03",3420
100045,2019-11-05,9937891,"COSMETICS","COSMETICS02",3260
100046,2019-02-10,9905475,"BAG","BAG03",3560
100046,2019-04-29,9900957,"SHOES","SHOES03",1530
100046,2019-11-05,9918326,"COSMETICS","COSMETICS02",1692
100046,2019-12-23,9900227,"COSMETICS","COSMETICS02",1640
100048,2019-01-06,9904581,"COSMETICS","COSMETICS03",1200
100048,2019-05-10,9901412,"BAG","BAG03",4703
100048,2019-06-21,9900243,"SHOES","SHOES03",1980
100048,2019-08-27,9909329,"SHOES","SHOES03",4252
100048,2019-08-27,9913031,"SHOES","SHOES03",4220
100048,2019-09-16,9909323,"SHOES","SHOES03",14170
100048,2019-09-16,9909979,"SHOES","SHOES03",16170
100048,2019-10-09,9903103,"SHOES","SHOES03",18250
100048,2019-12-27,9917789,"COSMETICS","COSMETICS01",1140
100048,2019-12-27,9921667,"SHOES","SHOES02",3990
100049,2019-03-14,9902153,"SHOES","SHOES02",1150
100049,2019-03-14,9902159,"SHOES","SHOES02",1940
100049,2019-05-08,9920593,"COSMETICS","COSMETICS03",2804
100049,2019-07-07,9903551,"SHOES","SHOES02",8910
100049,2019-07-07,9903325,"SHOES","SHOES02",1134
100049,2019-07-07,9904839,"SHOES","SHOES02",1604
100049,2019-07-07,9900520,"SHOES","SHOES02",4860
100049,2019-07-07,9900227,"COSMETICS","COSMETICS02",1300
100051,2019-03-10,9930047,"SHOES","SHOES02",17350
100051,2019-03-16,9905853,"COSMETICS","COSMETICS03",2000
100051,2019-03-16,9900175,"COSMETICS","COSMETICS03",2000
100051,2019-09-02,9903165,"COSMETICS","COSMETICS03",4940
100054,2019-01-09,9900286,"BAG","BAG03",4560
100054,2019-02-10,9900286,"BAG","BAG03",9120
100054,2019-02-10,9900391,"COSMETICS","COSMETICS03",2376
100054,2019-03-12,9900286,"BAG","BAG03",4560
100054,2019-03-31,9900286,"BAG","BAG03",4560
100054,2019-04-22,9900286,"BAG","BAG03",4560
100054,2019-05-08,9900391,"COSMETICS","COSMETICS03",2376
100054,2019-05-08,9900286,"BAG","BAG03",4560
100054,2019-05-14,9915525,"BAG","BAG02",2340
100054,2019-05-14,9900087,"SHOES","SHOES03",1440
100054,2019-06-16,9900286,"BAG","BAG03",4560
100054,2019-07-07,9900286,"BAG","BAG03",11400
100054,2019-07-27,9900286,"BAG","BAG03",4560
100054,2019-07-27,9900391,"COSMETICS","COSMETICS03",2376
100054,2019-08-10,9900286,"BAG","BAG03",9120
100054,2019-09-03,9900286,"BAG","BAG03",9120
100054,2019-09-25,9925190,"COSMETICS","COSMETICS02",1621
100054,2019-09-25,9928328,"COSMETICS","COSMETICS02",1645
100054,2019-10-27,9900286,"BAG","BAG03",9120
100054,2019-12-02,9900286,"BAG","BAG03",4560
100055,2019-01-20,9919768,"BAG","BAG02",10760
100055,2019-02-19,9909835,"BAG","BAG02",27400
100055,2019-02-24,9922266,"BAG","BAG03",1010
100055,2019-02-24,9937897,"BAG","BAG01",4161
100055,2019-02-24,9907451,"BAG","BAG03",1010
100055,2019-02-28,9909772,"BAG","BAG03",1420
100055,2019-03-12,9909494,"BAG","BAG03",1300
100055,2019-03-12,9909769,"BAG","BAG03",1300
100055,2019-04-20,9900451,"SHOES","SHOES03",3950
100055,2019-04-20,9924497,"BAG","BAG03",1340
100055,2019-04-20,9903965,"BAG","BAG03",1340
100055,2019-04-27,9905975,"BAG","BAG03",1365
100055,2019-05-05,9903697,"SHOES","SHOES03",2050
100055,2019-05-14,9913435,"COSMETICS","COSMETICS03",1567
100055,2019-05-14,9902670,"COSMETICS","COSMETICS03",2070
100055,2019-07-16,9900451,"SHOES","SHOES03",4400
100055,2019-08-18,9900585,"SHOES","SHOES03",2400
100055,2019-10-05,9933640,"COSMETICS","COSMETICS01",5059
100055,2019-11-10,9927049,"BAG","BAG01",36542
100055,2019-11-10,9924744,"BAG","BAG01",30642
100055,2019-11-26,9909359,"COSMETICS","COSMETICS03",2888
100055,2019-12-15,9903697,"SHOES","SHOES03",1950
100058,2019-04-16,9900227,"COSMETICS","COSMETICS02",1300
100058,2019-04-29,9900324,"COSMETICS","COSMETICS03",2460
100058,2019-06-10,9900734,"SHOES","SHOES03",2480
100058,2019-07-10,9900227,"COSMETICS","COSMETICS02",1300
100058,2019-08-31,9904756,"SHOES","SHOES03",4300
100058,2019-12-11,9904333,"COSMETICS","COSMETICS01",1320
100064,2019-01-21,9916405,"BAG","BAG01",2043
100064,2019-01-21,9921826,"BAG","BAG01",2043
100064,2019-01-21,9904614,"SHOES","SHOES02",3279
100064,2019-03-11,9900472,"SHOES","SHOES02",1000
100064,2019-05-05,9900177,"SHOES","SHOES02",2160
100064,2019-05-05,9900819,"SHOES","SHOES02",2394
100064,2019-05-10,9900818,"SHOES","SHOES02",1300
100064,2019-05-10,9900815,"SHOES","SHOES02",3600
100064,2019-05-25,9903195,"SHOES","SHOES02",4200
100064,2019-05-25,9903327,"SHOES","SHOES02",2835
100064,2019-05-25,9901789,"SHOES","SHOES01",4000
100064,2019-07-13,9902492,"COSMETICS","COSMETICS03",2376
100064,2019-08-21,9901072,"SHOES","SHOES02",5960
100064,2019-09-08,9902787,"COSMETICS","COSMETICS03",1076
100064,2019-09-08,9908411,"COSMETICS","COSMETICS03",1076
100064,2019-09-08,9908403,"COSMETICS","COSMETICS03",1000
100064,2019-09-08,9908402,"COSMETICS","COSMETICS03",1076
100064,2019-10-21,9901423,"BAG","BAG01",1720
100064,2019-10-26,9900491,"COSMETICS","COSMETICS03",2700
100064,2019-11-24,9901953,"SHOES","SHOES02",1900
100064,2019-12-01,9903195,"SHOES","SHOES02",2500
100064,2019-12-01,9900236,"SHOES","SHOES02",2560
100064,2019-12-01,9907852,"SHOES","SHOES02",1200
100064,2019-12-14,9903190,"COSMETICS","COSMETICS03",2200
100064,2019-12-14,9900820,"SHOES","SHOES02",1900
100064,2019-12-17,9901057,"COSMETICS","COSMETICS03",2200
100064,2019-12-31,9916192,"COSMETICS","COSMETICS03",1508
100065,2019-01-29,9900769,"COSMETICS","COSMETICS01",4900
100065,2019-01-29,9902895,"COSMETICS","COSMETICS01",10500
100065,2019-01-29,9902896,"COSMETICS","COSMETICS01",4900
100065,2019-04-21,9900181,"COSMETICS","COSMETICS02",1000
100065,2019-05-05,9900232,"SHOES","SHOES02",1980
100065,2019-06-15,9900181,"COSMETICS","COSMETICS02",1000
100065,2019-08-10,9903004,"COSMETICS","COSMETICS01",19200
100065,2019-08-10,9900769,"COSMETICS","COSMETICS01",4500
100065,2019-08-10,9904791,"COSMETICS","COSMETICS01",16000
100065,2019-08-10,9902588,"COSMETICS","COSMETICS01",4500
100065,2019-10-05,9900277,"COSMETICS","COSMETICS01",3320
100065,2019-10-13,9900232,"SHOES","SHOES02",3300
100065,2019-10-13,9901792,"SHOES","SHOES02",1100
100065,2019-11-24,9900181,"COSMETICS","COSMETICS02",1720
100067,2019-04-30,9900013,"BAG","BAG02",1395
100067,2019-04-30,9901363,"SHOES","SHOES03",1340
100067,2019-05-31,9908207,"BAG","BAG03",11570
100067,2019-06-23,9918177,"COSMETICS","COSMETICS02",5000
100067,2019-08-27,9901185,"SHOES","SHOES03",4500
100067,2019-09-28,9901185,"SHOES","SHOES03",4500
100067,2019-10-12,9907912,"SHOES","SHOES03",1360
100067,2019-10-14,9901185,"SHOES","SHOES03",4500
100067,2019-10-28,9908437,"SHOES","SHOES03",1100
100067,2019-11-11,9901185,"SHOES","SHOES03",4500
100067,2019-11-11,9900177,"SHOES","SHOES03",1080
100067,2019-11-27,9906834,"SHOES","SHOES03",1360
100067,2019-11-27,9907912,"SHOES","SHOES03",1360
100067,2019-12-09,9908437,"SHOES","SHOES03",1360
100067,2019-12-09,9903193,"SHOES","SHOES03",16530
100067,2019-12-09,9901185,"SHOES","SHOES03",4050
100067,2019-12-09,9900177,"SHOES","SHOES03",1200
100067,2019-12-09,9908724,"SHOES","SHOES03",1360
100067,2019-12-18,9903193,"SHOES","SHOES03",2900
100067,2019-12-23,9903193,"SHOES","SHOES03",8265
100067,2019-12-30,9903193,"SHOES","SHOES03",26220
100070,2019-12-01,9901271,"SHOES","SHOES02",19750
100074,2019-01-15,9903802,"BAG","BAG02",7980
100074,2019-03-30,9900919,"SHOES","SHOES03",2980
100074,2019-04-14,9900912,"SHOES","SHOES03",1930
100074,2019-05-23,9932750,"SHOES","SHOES03",1047
100074,2019-11-30,9907551,"BAG","BAG03",1384
100075,2019-03-20,9903709,"SHOES","SHOES02",3280
100075,2019-04-07,9900523,"COSMETICS","COSMETICS03",2000
100075,2019-04-07,9902781,"COSMETICS","COSMETICS03",2000
100075,2019-08-13,9900277,"COSMETICS","COSMETICS01",2490
100075,2019-10-09,9931179,"COSMETICS","COSMETICS02",1842
100076,2019-03-07,9900271,"SHOES","SHOES02",1280
100076,2019-03-21,9900271,"SHOES","SHOES02",1280
100076,2019-03-21,9900734,"SHOES","SHOES02",1240
100076,2019-05-04,9900520,"SHOES","SHOES02",1080
100076,2019-09-23,9903975,"COSMETICS","COSMETICS01",1920
100076,2019-09-23,9901255,"COSMETICS","COSMETICS01",2076
100076,2019-09-28,9934011,"COSMETICS","COSMETICS02",2320
100076,2019-09-28,9905299,"BAG","BAG02",1460
100077,2019-12-29,9907850,"SHOES","SHOES02",2682
100078,2019-04-22,9903193,"SHOES","SHOES02",6555
100078,2019-06-25,9900587,"SHOES","SHOES02",2000
100078,2019-09-03,9900227,"COSMETICS","COSMETICS02",6500
100078,2019-09-22,9910756,"SHOES","SHOES02",1120
100078,2019-09-22,9903193,"SHOES","SHOES02",6900
100078,2019-09-22,9937953,"COSMETICS","COSMETICS03",1140
100081,2019-04-09,9900236,"SHOES","SHOES02",3105
100082,2019-02-19,9900741,"BAG","BAG02",9960
100082,2019-07-23,9900263,"BAG","BAG02",2980
100082,2019-11-13,9900741,"BAG","BAG02",12320
100082,2019-11-26,9901002,"SHOES","SHOES02",4400
100094,2019-07-16,9901443,"COSMETICS","COSMETICS03",2580
100094,2019-07-16,9902953,"SHOES","SHOES02",2800
100094,2019-11-25,9901274,"SHOES","SHOES02",1834
100094,2019-11-25,9903063,"BAG","BAG01",3750
100095,2019-01-20,9910433,"BAG","BAG01",1890
100095,2019-01-29,9902725,"SHOES","SHOES02",3980
100095,2019-01-29,9901953,"SHOES","SHOES02",1700
100095,2019-01-29,9903552,"SHOES","SHOES03",7700
100095,2019-02-03,9900332,"SHOES","SHOES03",7980
100095,2019-02-18,9903709,"SHOES","SHOES02",3280
100095,2019-06-02,9901452,"SHOES","SHOES02",1100
100095,2019-06-02,9905067,"SHOES","SHOES02",1490
100095,2019-07-12,9903195,"SHOES","SHOES02",4200
100095,2019-08-30,9900227,"COSMETICS","COSMETICS02",1950
100095,2019-09-24,9905707,"SHOES","SHOES03",11600
100095,2019-10-04,9900263,"BAG","BAG02",5960
100095,2019-10-27,9905490,"SHOES","SHOES02",2980
100095,2019-11-24,9901196,"SHOES","SHOES03",7950
100098,2019-03-01,9909222,"COSMETICS","COSMETICS03",1980
100098,2019-04-20,9910984,"COSMETICS","COSMETICS02",5664
100098,2019-08-10,9938008,"SHOES","SHOES02",3960
100098,2019-08-10,9911061,"COSMETICS","COSMETICS02",5000
100098,2019-12-01,9938008,"SHOES","SHOES02",1980
100100,2019-01-28,9900958,"SHOES","SHOES02",1881
100100,2019-01-28,9900699,"SHOES","SHOES02",1881
100100,2019-01-28,9901275,"SHOES","SHOES02",1197
100100,2019-03-11,9900227,"COSMETICS","COSMETICS02",4100
100100,2019-03-11,9909173,"SHOES","SHOES02",3580
100100,2019-04-08,9901187,"SHOES","SHOES02",2700
100100,2019-04-08,9900236,"SHOES","SHOES02",2300
100100,2019-04-08,9900580,"SHOES","SHOES02",2508
100100,2019-06-02,9900227,"COSMETICS","COSMETICS02",6500
100100,2019-06-02,9900763,"SHOES","SHOES02",2160
100100,2019-07-22,9900242,"SHOES","SHOES02",1200
100100,2019-08-03,9910983,"SHOES","SHOES03",11500
100100,2019-08-03,9901791,"SHOES","SHOES02",1360
100100,2019-08-10,9900820,"SHOES","SHOES02",1596
100100,2019-08-10,9900813,"SHOES","SHOES02",1596
100100,2019-08-10,9901792,"SHOES","SHOES02",1000
100100,2019-08-10,9900817,"SHOES","SHOES02",1596
100100,2019-11-02,9906245,"SHOES","SHOES02",1320
100100,2019-12-31,9905859,"SHOES","SHOES02",1530
100101,2019-01-14,9900520,"SHOES","SHOES02",6000
100101,2019-01-14,9902788,"SHOES","SHOES01",5000
100101,2019-02-10,9904690,"COSMETICS","COSMETICS02",1300
100101,2019-02-11,9900227,"COSMETICS","COSMETICS02",4100
100101,2019-03-03,9900812,"SHOES","SHOES01",4950
100101,2019-04-10,9900227,"COSMETICS","COSMETICS02",3250
100101,2019-04-28,9906741,"SHOES","SHOES02",2070
100101,2019-05-22,9908658,"SHOES","SHOES03",20200
100101,2019-05-25,9908658,"SHOES","SHOES03",20200
100101,2019-08-21,9900227,"COSMETICS","COSMETICS02",4100
100101,2019-08-24,9900227,"COSMETICS","COSMETICS02",4100
100101,2019-11-23,9900227,"COSMETICS","COSMETICS02",4100
100101,2019-11-24,9900227,"COSMETICS","COSMETICS02",4100
100102,2019-03-04,9900217,"COSMETICS","COSMETICS02",7820
100102,2019-05-21,9908140,"COSMETICS","COSMETICS03",2451
100102,2019-07-10,9926805,"SHOES","SHOES02",5832
100102,2019-11-08,9900217,"COSMETICS","COSMETICS02",7820
100102,2019-12-23,9911750,"SHOES","SHOES02",1300
100103,2019-02-03,9900307,"BAG","BAG02",1035
100103,2019-10-14,9909225,"COSMETICS","COSMETICS03",2900
100103,2019-11-17,9900168,"SHOES","SHOES02",1300
100103,2019-11-17,9938020,"SHOES","SHOES02",5256
100106,2019-01-17,9903709,"SHOES","SHOES02",3895
100106,2019-02-09,9910130,"COSMETICS","COSMETICS03",1290
100106,2019-02-09,9901625,"BAG","BAG02",2000
100106,2019-05-03,9913439,"COSMETICS","COSMETICS03",4494
100106,2019-05-15,9906347,"SHOES","SHOES03",9900
100106,2019-05-15,9900812,"SHOES","SHOES01",9900
100106,2019-05-31,9902879,"SHOES","SHOES02",2033
100106,2019-05-31,9905206,"SHOES","SHOES02",3154
100106,2019-05-31,9905204,"SHOES","SHOES02",2347
100106,2019-05-31,9902878,"SHOES","SHOES02",1625
100106,2019-07-31,9900650,"COSMETICS","COSMETICS02",3420
100106,2019-07-31,9900451,"SHOES","SHOES02",1580
100106,2019-09-20,9900734,"SHOES","SHOES02",1309
100106,2019-10-25,9900236,"SHOES","SHOES02",1830
100107,2019-01-08,9904101,"COSMETICS","COSMETICS03",2228
100107,2019-01-08,9904673,"COSMETICS","COSMETICS03",2076
100107,2019-06-26,9900117,"COSMETICS","COSMETICS01",1164
100111,2019-01-28,9904101,"COSMETICS","COSMETICS03",5570
100111,2019-03-04,9902328,"BAG","BAG01",3563
100111,2019-03-04,9902302,"BAG","BAG01",4845
100111,2019-03-04,9902304,"BAG","BAG01",3563
100111,2019-03-18,9902317,"BAG","BAG01",3563
100111,2019-03-18,9902270,"BAG","BAG01",4275
100111,2019-03-18,9902296,"BAG","BAG01",3563
100111,2019-03-18,9902298,"BAG","BAG01",4631
100111,2019-04-22,9902301,"BAG","BAG01",3563
100111,2019-04-22,9938027,"BAG","BAG01",3563
100111,2019-04-22,9902276,"BAG","BAG01",5985
100111,2019-04-22,9938026,"BAG","BAG01",5106
100111,2019-04-22,9902282,"BAG","BAG01",5938
100111,2019-07-15,9900243,"SHOES","SHOES02",1980
100111,2019-07-30,9902595,"COSMETICS","COSMETICS01",1584
100111,2019-09-19,9911404,"COSMETICS","COSMETICS03",4180
100111,2019-10-07,9902328,"BAG","BAG01",4384
100111,2019-10-07,9936420,"BAG","BAG01",4384
100111,2019-10-07,9902304,"BAG","BAG01",4239
100111,2019-10-07,9902301,"BAG","BAG01",4239
100111,2019-10-07,9902270,"BAG","BAG01",5261
100111,2019-10-07,9902296,"BAG","BAG01",4384
100111,2019-10-07,9938028,"BAG","BAG01",4384
100111,2019-10-28,9902302,"BAG","BAG01",5846
100111,2019-10-28,9902317,"BAG","BAG01",4239
100111,2019-12-26,9911404,"COSMETICS","COSMETICS03",3344
